"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.000770303007229675,4,12,38.1842546063652,"Hemidesmosome assembly "," http://amigo.geneontology.org/amigo/term/GO:0031581"," COL17A1  KRT5  KRT14  LAMB3"
3.67835646103619e-06,12,126,10.90978703039,"Cornification "," http://amigo.geneontology.org/amigo/term/GO:0070268"," PRSS8  KRT17  KRT7  KLK5  KRT8  KRT19  KRT15  KRT6B  KRT5  KRT16  KRT14  KRT81"
0.00344370264832477,3,8,42.9572864321608,"Neg. reg. of dendritic cell apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:2000669"," CCL21  CCL19  GAS6"
0.000466536108768776,9,121,8.52045350720545,"Collagen fibril organization "," http://amigo.geneontology.org/amigo/term/GO:0030199"," COL9A2  COL17A1  COL16A1  COMP  COL7A1  EMILIN1  COL6A2  COL18A1  LAMB3"
0.000977702288907663,8,105,8.72782962431204,"Pos. reg. of leukocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0002690"," PTN  RARRES2  EDN2  CCL21  IL34  CCL19  GAS6  S100A14"
0.000795973663359341,9,135,7.63685092127303,"Reg. of leukocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0002688"," PTN  RARRES2  EDN2  CCL21  IL34  NBL1  CCL19  GAS6  S100A14"
0.0056092127573508,3,10,34.3658291457286,"Pos. reg. of antigen processing and presentation "," http://amigo.geneontology.org/amigo/term/GO:0002579"," PYCARD  CCL21  CCL19"
0.000538340619601085,10,162,7.07115826043799,"Pos. reg. of leukocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0002687"," PYCARD  PTN  RARRES2  EDN2  CCL21  IL34  CCL19  GAS6  TNFRSF18  S100A14"
0.000466536108768776,12,238,5.77576960432414,"Reg. of leukocyte migration "," http://amigo.geneontology.org/amigo/term/GO:0002685"," PYCARD  PTN  RARRES2  EDN2  CCL21  EMILIN1  IL34  NBL1  CCL19  GAS6  TNFRSF18  S100A14"
0.000361950042583034,13,270,5.51550344314163,"Keratinization "," http://amigo.geneontology.org/amigo/term/GO:0031424"," PRSS8  KRT17  KRT7  KLK5  KRT8  KRT19  KRT15  SFN  KRT6B  KRT5  KRT16  KRT14  KRT81"
9.56444996479139e-06,21,530,4.53888309471888,"Epidermis development "," http://amigo.geneontology.org/amigo/term/GO:0008544"," PRSS8  NGFR  COL17A1  COL7A1  KRT17  PLAAT4  KRT7  KLK5  KRT8  KRT19  KRT15  CST6  SFN  CALML5  ALOX15B  KRT6B  KRT5  KRT16  KRT14  LAMB3  KRT81"
0.000260181977708214,15,350,4.90940416367552,"Keratinocyte differentiation "," http://amigo.geneontology.org/amigo/term/GO:0030216"," PRSS8  KRT17  PLAAT4  KRT7  KLK5  KRT8  KRT19  KRT15  SFN  ALOX15B  KRT6B  KRT5  KRT16  KRT14  KRT81"
0.00344370264832477,6,70,9.81880832735104,"Antibacterial humoral response "," http://amigo.geneontology.org/amigo/term/GO:0019731"," LTF  WFDC2  SLPI  JCHAIN  SPON2  KLK5"
0.000153846132995373,18,472,4.36853760327059,"Skin development "," http://amigo.geneontology.org/amigo/term/GO:0043588"," TFAP2B  PRSS8  NGFR  COMP  KRT17  PLAAT4  KRT7  KLK5  KRT8  KRT19  KRT15  SFN  ALOX15B  KRT6B  KRT5  KRT16  KRT14  KRT81"
0.00344370264832477,7,104,7.71028218013143,"Cell-substrate junction assembly "," http://amigo.geneontology.org/amigo/term/GO:0007044"," COL17A1  COL16A1  TRIP6  SFRP1  KRT5  KRT14  LAMB3"
0.00582853966699011,5,51,11.2306631195192,"Reg. of granulocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0071622"," RARRES2  CCL21  IL34  CCL19  S100A14"
0.00739872236853245,3,12,28.6381909547739,"Dendritic cell apoptotic proc. "," http://amigo.geneontology.org/amigo/term/GO:0097048"," CCL21  CCL19  GAS6"
0.0101059143735204,2,3,76.3685092127303,"Dendritic cell dendrite assembly "," http://amigo.geneontology.org/amigo/term/GO:0097026"," CCL21  CCL19"
0.0101059143735204,2,3,76.3685092127303,"Reg. of dendritic cell dendrite assembly "," http://amigo.geneontology.org/amigo/term/GO:2000547"," CCL21  CCL19"
0.00443984624289827,7,110,7.28972133394244,"Cell-substrate junction organization "," http://amigo.geneontology.org/amigo/term/GO:0150115"," COL17A1  COL16A1  TRIP6  SFRP1  KRT5  KRT14  LAMB3"
